date,COVID_CASE_RATE_WEEK3,NEIGHBORHOOD_NAME,PERCENT_POSITIVE_4WEEK,MODIFIED_ZCTA,PCT_CHANGE_2WEEK,COVID_DEATH_COUNT_4WEEK,COVID_CASE_RATE_4WEEK,COVID_CASE_COUNT_4WEEK,COVID_DEATH_RATE_4WEEK,COVID_CASE_COUNT_WEEK1,COVID_CASE_RATE_WEEK2,COVID_CASE_COUNT_WEEK3,COVID_CASE_COUNT_WEEK2,COVID_CASE_COUNT_WEEK4,COVID_CASE_RATE_WEEK1,COVID_CASE_RATE_WEEK4,NUM_PEOP_TEST_4WEEK,TESTING_RATE_4WEEK
10-10-2020,38.27,Forest Hills,1.95,11375,13,2,144.57,102,2.83,30,34.02,27,24,21,42.52,29.76,5235,7419.96
10-10-2020,12.72,Woodside,1.24,11377,59,1,86.74,75,1.16,29,19.66,11,17,18,33.54,20.82,6056,7003.7
10-10-2020,20.24,Maspeth,1.32,11378,-13,0,86.72,30,0,5,26.02,7,9,9,14.45,26.02,2277,6582.17
10-10-2020,30.39,Middle Village,1.37,11379,71,1,104.99,38,2.76,12,33.15,11,12,3,33.15,8.29,2773,7661.16
10-10-2020,14.57,Glendale/Ridgewood,1.29,11385,68,0,72.87,75,0,32,14.57,15,15,13,31.09,12.63,5817,5651.42
10-10-2020,19.52,Cambria Heights,1.18,11411,0,0,68.31,14,0,2,24.4,4,5,3,9.76,14.64,1188,5796.75
10-10-2020,15.25,St. Albans,0.82,11412,-54,0,48.29,19,0,3,7.62,6,3,7,7.62,17.79,2306,5860.69
10-10-2020,11.46,Laurelton/Rosedale,0.84,11413,-18,0,45.82,20,0,6,6.87,5,3,6,13.75,13.75,2385,5464.17
10-10-2020,60.14,Hamilton Beach/Howard Beach/Lindenwood,2.92,11414,-4,0,187.51,53,0,12,49.53,17,14,10,42.45,35.38,1816,6424.78
10-10-2020,51.99,Kew Gardens,3.38,11415,30,0,275.55,53,0,19,57.19,10,11,13,98.78,67.59,1570,8162.52
10-10-2020,22.54,Ozone Park,1.79,11416,27,0,93.93,25,0,7,26.3,6,7,5,26.3,18.79,1399,5256.55
10-10-2020,25.58,Ozone Park,1.54,11417,122,0,92.74,29,0,12,25.58,8,8,1,38.37,3.2,1880,6012.03
10-10-2020,15.75,Richmond Hill,2.08,11418,15,0,112.85,43,0,9,36.74,6,14,14,23.62,36.74,2072,5437.58
10-10-2020,9.83,Richmond Hill/South Ozone Park,1.23,11419,70,1,53.1,27,1.97,9,15.73,5,8,5,17.7,9.83,2202,4330.49
10-10-2020,14.46,South Ozone Park,2,11420,218,1,95.01,46,2.07,22,26.85,7,13,4,45.44,8.26,2300,4750.52
10-10-2020,11.85,Woodhaven,1.68,11421,54,1,78.18,33,2.37,11,21.32,5,9,8,26.06,18.95,1959,4641.14
10-10-2020,11.86,Rosedale,0.51,11422,-33,0,29.65,10,0,1,8.9,4,3,2,2.97,5.93,1949,5779.68
10-10-2020,28.09,Hollis/Holliswood,2.34,11423,175,1,140.44,45,3.12,24,28.09,9,9,3,74.9,9.36,1926,6011.02
10-10-2020,9.82,Bellerose,1.72,11426,133,0,98.22,20,0,8,29.46,2,6,4,39.29,19.64,1164,5716.17
10-10-2020,25.85,Bellerose/Hollis Hills/Holliswood,1.56,11427,0,0,103.39,24,0,8,17.23,6,4,6,34.46,25.85,1535,6612.85
10-10-2020,20.7,Queens Village,0.99,11428,20,1,56.91,11,5.17,5,5.17,4,1,1,25.87,5.17,1106,5722.43
10-10-2020,10.7,Queens Village,1.57,11429,111,0,99.87,28,0,14,17.83,3,5,6,49.94,21.4,1778,6341.77
10-10-2020,71.21,Hillcrest/Jamaica Estates/Jamaica Hills,2.94,11432,-10,2,177.23,112,3.16,33,31.65,45,20,14,52.22,22.15,3815,6036.83
10-10-2020,13.88,Jamaica,1.28,11433,113,1,69.38,25,2.78,11,16.65,5,6,3,30.53,8.33,1954,5422.39
10-10-2020,7.4,Airport/South Jamaica/Springfield Gardens/St. Albans,0.86,11434,33,0,51.82,35,0,9,16.29,5,11,10,13.33,14.81,4070,6026.41
10-10-2020,24.28,Briarwood/Jamaica,2.09,11435,43,0,117.92,68,0,24,27.75,14,16,14,41.62,24.28,3251,5637.85
10-10-2020,14.42,South Jamaica/South Ozone Park,1.31,11436,33,1,67.28,14,4.81,4,19.22,3,4,3,19.22,14.42,1072,5152.01
10-10-2020,94.2,Edgemere/Far Rockaway,4.65,11691,49,2,392.22,254,3.09,87,100.37,61,65,41,134.34,63.31,5468,8443.61
10-10-2020,14.91,Arverne/Edgemere,1.25,11692,-50,1,104.37,21,4.97,4,14.91,3,3,11,19.88,54.67,1678,8339.86
10-10-2020,16.15,Arverne/Broad Channel,0.95,11693,200,0,64.61,8,0,5,8.08,2,1,0,40.38,0,842,6800.59
10-10-2020,4.91,Belle Harbor-Neponsit/Rockaway Park,1.22,11694,117,0,93.34,19,0,9,19.65,1,4,5,44.21,24.56,1557,7648.93
10-10-2020,28.28,Breezy Point,1.81,11697,-50,0,169.65,6,0,1,28.28,1,1,3,28.28,84.83,331,9359.03
